Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,Cmp,Cmp,Cmp,Cmp%,Cmp%,Cmp%,Cmp,Cmp%
44,Liston Colaco,in IND,"MF,FW",Mohun Bagan,23,1998,20,1336,67,74.2,10.56,15,83,7,5,17,0,1.67,17,14,3,0.2,-0.57,Matches,255,52,146,44.88,64.24,77.44,93,51.04
45,Alan Costa,br BRA,DF,Bengaluru,31,1990,15,1046,70,58.1,13.2,11,89,10,4,18,2,1.67,18,13,5,0.43,0.55,Matches,408,96,9,44.88,66.88,77.44,109,68.64
46,Eduardo Pelaez,es AFG,MF,Goa,26,1996,17,1476,87,82,17,17,87,14,0,,1,1.61,26,23,3,0.18,1.57,Matches,1411,541,324.6,60.72,93.7,92.33,141,88.57
47,Rafael Crivellaro,br BRA,"MF,FW",Jamshedpur,33,1989,10,684,68,38,13.2,9,75,3,1,8,0,0.9,9,12,-3,-0.39,0.25,Matches,333,149,72,58.96,75.68,71.28,71,67.76
48,Ayush Mazumdar,in IND,DF,Goa,24,1997,1,1,1,0.1,12.32,0,,0,1,1,14,3,0,0,0,0,-0.05,Matches,451,277,170,94.3,91.2,87.88,121,41.36
49,Aaren D'Silva,in AFG,MF,Mumbai City,24,1997,14,109,8,6.1,16.72,0,,0,14,8,5,2.07,4,1,3,2.48,1.57,Matches,185,56,1,44.88,66.88,81.84,94,42.24
50,Devansh Dabas,in IND,GK,Chennaiyin,20,2001,1,90,90,5,8.8,1,90,1,0,,11,0,0,2,-2,-2,-2.05,Matches,220,144,146,44.88,73.92,64.24,118,64.24
51,Rakshit Dagar,in IND,GK,Jamshedpur,29,1992,0,,,,12.32,0,,0,0,,4,,,,,,,Matches,304,187,165,56.32,72.16,71.28,122,50.16
52,Vignesh Dakshina Murthy,in IND,DF,Mumbai City,24,1998,14,887,63,49.3,8.8,10,77,6,4,30,5,2.19,32,10,22,2.23,1.15,Matches,35,171,54,54.56,75.68,79.2,73,51.92
53,Slavko DamjanoviÄ‡,me MNE,DF,Mohun Bagan,29,1992,6,244,41,13.6,11.44,2,90,2,4,16,2,1.7,2,1,1,0.37,0.02,Matches,378,26,92,62.48,69.52,69.52,70,55.44
54,Rohit Danu,in IND,MF,Hyderabad FC,20,2002,11,384,35,21.3,14.08,5,65,0,6,10,1,2.15,8,5,3,0.7,-0.38,Matches,339,187,190,64.24,70.4,72.16,103,71.28
55,Narayan Das,in IND,DF,Chennaiyin,28,1993,6,332,55,18.4,15.84,4,73,3,2,20,10,2.17,5,4,1,0.27,0.39,Matches,35,186,66,50.16,74.8,77.44,86,50.16
56,Prabir Das,in IND,"MF,DF",Bengaluru,28,1993,16,1151,72,63.9,15.84,13,83,8,3,26,3,1.95,24,13,11,0.86,1.83,Matches,330,64,136,66.88,68.64,66,107,51.92
57,Ritwik Das,in IND,MF,Jamshedpur,25,1996,18,1253,70,69.6,17.6,14,82,4,4,28,2,1,17,19,-2,-0.14,1.34,Matches,501,87,155,51.92,72.16,65.12,52,42.24
58,Sourav Das,in IND,MF,Chennaiyin,26,1996,7,392,56,21.8,14.08,4,82,3,3,21,3,1.43,9,10,-1,-0.23,-0.23,Matches,391,205,241,51.92,66,71.28,58,54.56
59,Tuhin Das,in IND,MF,East Bengal,22,2000,8,209,26,11.6,16.72,2,62,0,6,14,9,0.38,2,3,-1,-0.43,0.42,Matches,170,195,246,49.28,73.92,71.28,86,43.12
60,Carlos Delgado,es ESP,DF,Odisha,32,1990,20,1800,90,100,14.96,20,90,20,0,,0,1.43,30,32,-2,-0.1,,Matches,118,129,223,46.64,65.12,83.6,80,51.04
61,Matt Derbyshire,eng ENG,FW,NorthEast Utd,36,1986,8,561,70,31.2,11.44,6,83,4,2,33,1,0,4,15,-11,-1.76,-0.02,Matches,297,150,26,64.24,66.88,83.6,63,43.12
62,Abhishek Dhananjay,in IND,MF,Mohun Bagan,21,2001,0,,,,8.8,0,,0,0,,6,,,,,,,Matches,77,130,73,63.36,73.92,69.52,103,72.16
63,Jockson Dhas,in IND,MF,Chennaiyin,27,1995,6,154,26,8.6,15.84,2,51,0,4,13,1,1.5,3,2,1,0.58,0.69,Matches,210,131,232,58.96,68.64,73.92,95,50.16
64,Fallou Diagne,sn SEN,DF,Chennaiyin,32,1989,19,1567,82,87.1,16.72,19,82,13,0,,0,1.42,30,32,-2,-0.11,-0.5,Matches,352,151,214,68.64,74.8,75.68,95,41.36
65,Dimitris Diamantakos,gr GRE,FW,Kerala Blasters,29,1993,20,1628,81,90.4,17.6,20,81,8,0,,0,1.48,25,28,-3,-0.17,-1.74,Matches,292,31,203,50.16,64.24,74.8,49,39.6
66,Rishabh Dobriyal,in IND,FW,Odisha,20,2001,0,,,,11.44,0,,0,0,,5,,,,,,,Matches,260,147,81,44,72.16,64.24,48,66
67,Aibanbha Dohling,in IND,DF,Goa,26,1996,19,1489,78,82.7,14.08,17,86,14,2,12,1,1.42,30,25,5,0.3,1.46,Matches,74,42,177,49.28,67.76,76.56,45,44.88
68,Seiminlen Doungel,in IND,"FW,MF",Jamshedpur,28,1994,10,164,16,9.1,14.08,0,,0,10,16,10,1.3,1,7,-6,-3.29,-3.02,Matches,308,21,181,68.64,70.4,65.12,110,58.96
69,Julius DÃ¼ker,de GER,MF,Chennaiyin,26,1996,20,1646,82,91.4,17.6,20,82,13,0,,0,1.35,32,33,-1,-0.05,-0.05,Matches,469,19,245,55.44,69.52,70.4,89,42.24
70,Eliandro,br BRA,FW,East Bengal,32,1990,7,112,16,6.2,15.84,0,,0,7,16,2,0.43,1,4,-3,-2.41,-1.72,Matches,120,41,197,45.76,67.76,76.56,105,66
71,Jay Emmanuel-Thomas,eng ENG,MF,Jamshedpur,31,1990,17,1305,77,72.5,17.6,14,87,12,3,29,3,0.94,14,20,-6,-0.41,0.5,Matches,288,55,175,51.04,63.36,61.6,76,47.52
72,Aaron Evans,au AUS,DF,NorthEast Utd,27,1994,18,1343,75,74.6,10.56,15,87,13,3,14,2,0.28,17,43,-26,-1.74,0.03,Matches,267,112,173,49.28,72.16,70.4,105,67.76
73,Mourtada Fall,sn SEN,DF,Mumbai City,34,1987,16,862,54,47.9,11.44,8,86,7,8,22,4,2.17,17,9,8,0.84,-1.56,Matches,152,115,62,58.96,64.24,71.28,67,57.2
74,Danish Farooq,in IND,FW,Kerala Blasters,26,1996,5,62,12,3.4,9.68,0,,0,5,12,0,0.5,0,1,-1,-1.45,-1.5,Matches,387,88,215,54.56,75.68,78.32,73,65.12
75,Danish Farooq,in IND,MF,Bengaluru,26,1996,10,469,47,26.1,15.84,6,69,2,4,13,6,1.2,5,9,-4,-0.77,-1.31,Matches,483,100,159,60.72,66,80.96,117,41.36
76,Brandon Fernandes,in IND,MF,Goa,27,1994,20,1678,84,93.2,17.6,20,84,11,0,,0,1.35,31,35,-4,-0.21,-3.9,Matches,456,164,165,51.04,64.24,82.72,92,74.8
77,Brison Fernandes,in IND,MF,Goa,21,2001,13,249,19,13.8,17.6,1,74,0,12,15,7,1.62,7,3,4,1.45,1.62,Matches,62,47,102,54.56,71.28,63.36,124,68.64
78,Raynier Fernandes,in IND,MF,Odisha,,,19,1101,58,61.2,14.08,16,64,5,3,27,0,1.5,18,18,0,0,0.26,Matches,359,117,90,48.4,70.4,77.44,50,49.28
79,Seriton Fernandes,in IND,DF,Goa,29,1992,15,1277,85,70.9,14.96,15,85,11,0,,1,1.27,24,26,-2,-0.14,-0.66,Matches,140,18,47,50.16,71.28,65.12,115,65.12
80,Sweden Fernandes,in IND,MF,Hyderabad FC,22,2000,0,,,,10.56,0,,0,0,,2,,,,,,,Matches,313,169,189,67.76,68.64,79.2,99,55.44
81,Dylan Fox,au AUS,DF,Jamshedpur,28,1994,0,,,,9.68,0,,0,0,,1,,,,,,,Matches,19,97,72,62.48,69.52,79.2,124,51.04
82,Narender Gahlot,in IND,DF,Odisha,21,2001,17,1289,76,71.6,14.08,15,84,12,2,16,2,1.17,22,27,-5,-0.35,-0.88,Matches,342,159,111,60.72,67.76,79.2,62,58.96
83,Federico Gallego,uy URU,MF,Mohun Bagan,32,1990,8,435,54,24.2,13.2,4,89,3,4,20,0,1.42,4,3,1,0.21,-0.19,Matches,178,10,10,67.76,66,83.6,114,43.12
84,Saviour Gama,in IND,DF,Goa,25,1997,8,250,31,13.9,17.6,3,62,1,5,13,5,1.25,4,7,-3,-1.08,-1.31,Matches,153,167,120,66.88,64.24,61.6,57,53.68
85,IvÃ¡n Garrido GonzÃ¡lez,es ESP,DF,East Bengal,32,1990,15,1246,83,69.2,12.32,14,87,12,1,25,3,0.8,17,30,-13,-0.94,-0.45,Matches,9,13,185,48.4,65.12,80.08,72,45.76
86,Jon GaztaÃ±aga,es ESP,MF,NorthEast Utd,31,1991,13,1031,79,57.3,13.2,11,87,9,2,38,0,0.31,11,26,-15,-1.31,1.03,Matches,79,141,9,44.88,64.24,62.48,79,69.52
87,Apostolos Giannou,au AUS,FW,Kerala Blasters,32,1990,17,676,40,37.6,17.6,5,80,2,12,23,0,1.65,12,7,5,0.67,1.07,Matches,10,122,71,61.6,66.88,68.64,102,44.88
88,Sarthak Golui,in IND,DF,East Bengal,24,1997,13,959,74,53.3,17.6,10,87,7,3,30,4,0.92,11,12,-1,-0.09,1.51,Matches,89,158,205,67.76,74.8,67.76,101,71.28
89,Amrit Gope,in IND,GK,Bengaluru,22,1999,0,,,,17.6,0,,0,0,,8,,,,,,,Matches,496,44,144,59.84,65.12,79.2,53,69.52
90,Rostyn Griffiths,au AUS,DF,Mumbai City,34,1988,17,1292,76,71.8,13.2,14,88,13,3,22,0,2.35,45,17,28,1.95,1.06,Matches,165,153,160,69.52,73.92,80.96,106,51.92
91,Iker Guarrotxena,es ESP,"MF,FW",Goa,29,1992,20,1688,84,93.8,9.68,20,84,15,0,,0,1.35,35,31,4,0.21,2.62,Matches,129,61,203,66,72.16,65.12,58,43.12
92,Vafa Hakhamaneshi,ir IRN,DF,Chennaiyin,31,1991,18,1394,77,77.4,8.8,15,89,14,3,22,1,1.5,25,25,0,0,0.22,Matches,168,40,86,58.96,75.68,76.56,114,74.8
93,Pronay Halder,in IND,MF,Mohun Bagan,29,1993,2,66,33,3.7,16.72,1,65,0,1,1,3,3,2,1,1,1.36,1.05,Matches,216,156,34,69.52,61.6,77.44,87,55.44
94,Pronay Halder,in IND,"MF,DF",Jamshedpur,29,1993,7,630,90,35,8.8,7,90,7,0,,0,1.86,12,10,2,0.29,1.29,Matches,159,70,10,44,68.64,68.64,107,51.04
95,Brendan Hamill,au AUS,DF,Mohun Bagan,29,1992,18,1620,90,90,14.96,18,90,18,0,,0,1.5,21,17,4,0.22,-1.28,Matches,194,148,9,47.52,69.52,71.28,80,43.12
96,Thongkhosiem Haokip,in IND,FW,East Bengal,29,1993,15,694,46,38.6,8.8,8,77,4,7,12,5,1,10,16,-6,-0.78,0.04,Matches,9,114,80,64.24,70.4,80.96,104,50.16
97,Peter Hartley,eng ENG,DF,Jamshedpur,34,1988,8,708,89,39.3,15.84,8,89,6,0,,0,0.38,5,14,-9,-1.14,-0.98,Matches,443,18,244,52.8,73.04,67.76,107,68.64
98,HernÃ¡n,es ESP,"DF,MF",Goa,31,1990,4,109,27,6.1,15.84,0,,0,4,27,0,0.25,1,4,-3,-2.48,-2.69,Matches,259,45,69,51.04,74.8,82.72,92,70.4
99,Javi HernÃ¡ndez,es ESP,MF,Bengaluru,33,1989,18,1444,80,80.2,10.56,16,88,10,2,22,1,1.77,21,19,2,0.12,-0.38,Matches,267,180,65,47.52,68.64,66,100,71.28
100,Borja Herrera,es ESP,MF,Hyderabad FC,29,1993,20,1142,57,63.4,12.32,12,78,5,8,26,0,2,25,14,11,0.87,-0.36,Matches,370,26,18,45.76,66.88,65.12,97,68.64
101,Lalrinliana Hnamte,in IND,DF,Mohun Bagan,19,2003,9,97,11,5.4,12.32,0,,0,9,11,11,2,5,1,4,3.71,3.55,Matches,169,139,134,53.68,69.52,75.68,111,71.28
102,Sylvester Igboun,ng NGA,"FW,MF",NorthEast Utd,31,1990,1,20,20,1.1,13.2,0,,0,1,20,0,0,1,1,0,0,1.77,Matches,401,119,216,55.44,61.6,82.72,102,47.52
103,Mohammed Irshad,in IND,"MF,DF",NorthEast Utd,27,1994,11,578,53,32.1,14.08,6,63,1,5,40,6,0,6,16,-10,-1.56,0.28,Matches,65,203,99,45.76,61.6,75.68,75,44.88
104,Leander D'Cunha,ma MAR,MF,Mumbai City,34,1988,19,1327,70,73.7,8.8,18,72,5,1,34,0,2.19,43,16,27,1.83,0.69,Matches,406,48,114,51.92,66,82.72,106,52.8
105,Michael Jakobsen,dk DEN,DF,NorthEast Utd,36,1986,10,849,85,47.2,14.08,10,85,7,0,,0,0,5,25,-20,-2.12,-0.7,Matches,248,38,32,54.56,68.64,69.52,66,60.72
106,Himanshu Jangra,in IND,MF,East Bengal,18,2004,6,151,25,8.4,9.68,1,40,0,5,22,1,1.17,2,3,-1,-0.6,0.22,Matches,11,76,214,48.4,62.48,61.6,47,57.2
107,Jake Jervis,eng ENG,FW,East Bengal,30,1991,5,435,87,24.2,14.08,5,87,4,0,,0,1.4,4,7,-3,-0.62,0.24,Matches,311,120,166,62.48,74.8,82.72,120,44.88
108,Ashish Jha,in IND,FW,Bengaluru,23,1999,0,,,,17.6,0,,0,0,,1,,,,,,,Matches,19,173,250,59.84,64.24,82.72,68,73.92
109,Sandesh Jhingan,in IND,DF,Bengaluru,29,1993,18,1620,90,90,13.2,18,90,18,0,,2,1.64,22,21,1,0.06,-1.44,Matches,197,153,232,57.2,66,70.4,59,40.48
110,Subhashish Bose,in IND,MF,Mohun Bagan,19,2002,1,3,3,0.2,17.2,0,,0,1,3,15,0,0,0,0,0,-0.35,Matches,1390,499,277,65.2,91.77,83.27,54,78.8
111,Lalbiakhlua Jongte,in IND,GK,Hyderabad FC,20,2002,1,90,90,5,11.44,1,90,1,0,,12,0,2,3,-1,-1,-2.11,Matches,388,76,218,50.16,67.76,73.92,104,53.68
112,Wilmar JordÃ¡n,co COL,"FW,MF",NorthEast Utd,31,1990,11,736,67,40.9,9.68,9,77,6,2,22,0,0.36,10,26,-16,-1.96,-0.35,Matches,56,191,70,44,74.8,64.24,90,58.96
113,Aleksandar JovanoviÄ‡,au AUS,DF,Bengaluru,32,1989,13,1078,83,59.9,13.2,13,83,7,0,,3,1.59,12,13,-1,-0.08,-0.71,Matches,241,148,27,67.76,71.28,66.88,71,45.76
114,Jobby Justin,in IND,FW,Chennaiyin,28,1993,5,58,12,3.2,16.72,0,,0,5,12,5,0.6,3,4,-1,-1.55,-1.55,Matches,77,50,25,68.64,71.28,82.72,46,43.12
115,Abdul Rabeeh A K,in IND,MF,Hyderabad FC,21,2001,16,312,20,17.3,11.44,1,90,1,15,15,4,1.94,10,6,4,1.15,0.19,Matches,318,176,180,47.52,72.16,73.04,56,55.44
116,Vishal Kaith,in IND,GK,Mohun Bagan,26,1996,20,1800,90,100,10.56,20,90,20,0,,0,1.67,24,17,7,0.35,,Matches,74,109,222,66.88,73.04,70.4,97,69.52
117,Ivan Kaliuzhnyi,ua UKR,MF,Kerala Blasters,24,1998,18,1246,69,69.2,15.84,15,80,6,3,17,1,1.56,19,20,-1,-0.07,-0.23,Matches,391,185,243,62.48,66.88,68.64,111,46.64
118,Rahul Kannoly Praveen,in IND,MF,Kerala Blasters,22,2000,18,1288,72,71.6,11.44,15,81,6,3,26,0,1.63,24,19,5,0.35,1.23,Matches,371,196,55,49.28,65.12,66.88,78,71.28
119,Kwame Karikari,gh GHA,FW,Chennaiyin,30,1992,16,540,34,30,11.44,3,87,2,13,21,1,1.31,14,11,3,0.5,0.79,Matches,443,28,168,69.52,70.4,71.28,74,48.4
120,Prasanth Karuthadathkuni,in IND,"MF,FW",Chennaiyin,25,1997,15,853,57,47.4,13.2,12,66,1,3,21,2,1.13,15,21,-6,-0.63,-1.11,Matches,219,169,86,61.6,66.88,64.24,83,73.92
121,Laxmikant Kattimani,in IND,GK,Hyderabad FC,33,1989,6,487,81,27.1,16.72,6,81,5,0,,0,2.67,9,3,6,1.11,0.15,Matches,261,16,64,66.88,69.52,70.4,110,65.12
122,Joni Kauko,fi FIN,MF,Mohun Bagan,32,1990,6,498,83,27.7,8.8,6,83,4,0,,0,1.67,12,8,4,0.72,0.52,Matches,173,138,187,55.44,71.28,63.36,91,74.8
123,Harmanjot Khabra,in IND,DF,Kerala Blasters,33,1988,7,540,77,30,15.84,7,77,3,0,,12,0.86,7,12,-5,-0.83,-1.19,Matches,310,105,118,57.2,70.4,73.92,125,44
124,Imran Khan,in IND,"MF,FW",NorthEast Utd,27,1994,14,478,34,26.6,14.96,4,78,0,10,17,3,0.07,5,14,-9,-1.69,0.08,Matches,79,202,3,46.64,64.24,67.76,119,73.04
125,Abdenasser El Khayati,nl NED,"MF,FW",Chennaiyin,33,1989,12,577,48,32.1,8.8,6,78,3,6,18,1,1.42,17,17,0,0,0.07,Matches,296,53,151,54.56,61.6,66.88,111,64.24
126,Pritam Kotal,in IND,DF,Mohun Bagan,28,1993,20,1799,90,99.9,14.96,20,90,19,0,,0,1.67,24,17,7,0.35,0.35,Matches,413,79,181,67.76,71.28,66.88,76,48.4
127,Roy Krishna,fj FIJ,FW,Bengaluru,34,1987,18,1564,87,86.9,15.84,18,87,12,0,,0,1.77,22,20,2,0.12,-0.65,Matches,314,139,147,50.16,67.76,73.92,74,66
128,Ajith Kumar,in IND,DF,Chennaiyin,25,1996,15,1228,82,68.2,10.56,15,82,7,0,,1,1.13,15,21,-6,-0.44,-1.23,Matches,240,41,235,59.84,66,73.04,72,66
129,Anuj Kumar,in IND,GK,Hyderabad FC,24,1998,2,143,72,7.9,17.6,1,90,1,1,53,8,1.5,1,1,0,0,-1.09,Matches,141,140,30,66,73.92,81.84,80,58.08
130,Gurjinder Kumar,in IND,DF,NorthEast Utd,31,1990,11,905,82,50.3,14.08,10,84,8,1,64,5,0,5,27,-22,-2.19,-0.88,Matches,100,15,232,62.48,67.76,67.76,118,69.52
131,Nanda Kumar,in IND,"FW,MF",Odisha,26,1995,19,1564,82,86.9,9.68,19,82,10,0,,0,1.45,25,26,-1,-0.06,0.32,Matches,129,133,34,45.76,61.6,67.76,90,40.48
132,Naveen Kumar,in IND,GK,East Bengal,33,1989,0,,,,14.96,0,,0,0,,3,,,,,,,Matches,21,139,132,53.68,68.64,64.24,62,54.56
